BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,PARAMETER_COUNT,PERCENT_COMMENTS,DEFECT_LABEL,_source_file
1.0,2.0,0.0,1.0,0.33,0.0,1.0,1.0,3.0,1.0,0.0,14.24,3.5,174.4,0.02,15.0,0.29,9.69,49.83,0.0,2.0,3.0,3.0,1.0,0.0,0.0,4.0,0.08,13.0,7.0,8.0,5.0,5.0,0.0,40.0,0,MC1.arff
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.13,8.0,0.0,1.0,0.0,1.0,0.0,83.33,0,PC4.arff
3.0,2.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,14.7,10.21,1533.34,0.05,36.0,0.1,85.19,150.12,0.0,0.0,12.0,12.0,0.0,1.0,2.0,7.0,0.11,18.0,13.0,23.0,7.0,11.0,0.0,0.0,0,MC1.arff
5.0,1.0,8.0,3.0,0.25,4.0,2.0,0.67,9.0,1.0,0.0,31.09,12.37,4760.62,0.13,75.0,0.08,264.48,384.7,1.0,3.0,11.0,12.0,0.33,2.0,4.0,8.0,0.15,20.0,33.0,42.0,20.0,15.0,0.0,26.67,0,PC1.arff
5.0,3.0,8.0,3.0,0.19,4.0,3.0,1.0,12.0,1.0,0.0,24.04,10.4,2599.82,0.08,52.0,0.1,144.43,249.98,1.0,2.0,15.0,16.0,0.33,2.0,4.0,11.0,0.13,24.0,24.0,28.0,15.0,13.0,0.0,16.67,1,PC4.arff
9.0,2.0,14.0,5.0,0.23,6.0,4.0,0.8,15.0,5.0,1.0,36.9,14.52,7779.61,0.18,100.0,0.07,432.2,535.76,0.0,0.0,22.0,22.0,1.0,4.0,7.0,12.0,0.14,36.0,41.0,59.0,24.0,17.0,1.0,0.0,1,PC1.arff
13.0,2.0,24.0,7.0,0.54,12.0,5.0,0.0,25.0,1.0,0.0,23.89,9.6,2201.72,0.08,55.0,0.1,122.32,229.35,0.0,0.0,13.0,13.0,0.0,6.0,12.0,20.0,0.44,16.0,24.0,31.0,10.0,8.0,0.0,0.0,0,MC1.arff
9.0,8.0,16.0,5.0,0.13,8.0,3.0,0.6,28.0,1.0,0.0,48.04,17.21,14221.76,0.28,145.0,0.06,790.1,826.56,6.0,17.0,33.0,39.0,0.2,4.0,8.0,25.0,0.07,72.0,65.0,80.0,34.0,18.0,0.0,41.07,1,PC5.arff
7.0,3.0,12.0,4.0,0.33,6.0,4.0,1.0,14.0,1.0,0.0,14.8,10.0,1480.0,0.05,37.0,0.1,82.22,148.0,3.0,6.0,9.0,12.0,0.25,3.0,6.0,12.0,0.14,29.0,12.0,25.0,6.0,10.0,0.0,50.0,0,PC4.arff
23.0,5.0,0.0,12.0,0.43,0.0,11.0,0.92,54.0,10.0,0.82,23.38,30.33,21507.84,0.24,159.0,0.03,1194.88,709.05,0.0,1.0,28.0,28.0,0.83,0.0,0.0,44.0,0.3,40.0,42.0,117.0,9.0,13.0,0.0,3.45,0,PC4.arff
37.0,2.0,60.0,19.0,0.23,24.0,2.0,0.11,63.0,18.0,0.94,38.0,40.44,62131.34,0.51,267.0,0.02,3451.74,1536.55,6.0,4.0,75.0,81.0,0.95,18.0,30.0,46.0,0.2,93.0,109.0,158.0,31.0,23.0,1.0,11.76,0,PC4.arff
11.0,1.0,20.0,6.0,0.15,10.0,1.0,0.17,25.0,1.0,0.0,28.15,27.0,20519.43,0.25,147.0,0.04,1139.97,759.98,5.0,3.0,35.0,40.0,0.17,5.0,10.0,21.0,0.11,54.0,54.0,93.0,18.0,18.0,1.0,18.6,1,PC4.arff
5.0,4.0,8.0,3.0,0.3,4.0,3.0,1.0,14.0,1.0,0.0,27.97,8.25,1903.71,0.08,48.0,0.12,105.76,230.75,0.0,6.0,10.0,10.0,0.0,2.0,4.0,13.0,0.14,22.0,22.0,26.0,16.0,12.0,0.0,37.5,0,MC1.arff
63.0,11.0,68.0,43.0,0.18,34.0,18.0,0.42,146.0,6.0,0.12,126.66,48.84,302139.0,2.06,847.0,0.02,16785.5,6186.3,42.0,9.0,202.0,244.0,0.14,17.0,34.0,105.0,0.14,307.0,370.0,477.0,125.0,33.0,0.0,20.16,1,PC5.arff
15.0,2.0,20.0,8.0,0.15,6.0,4.0,0.5,22.0,6.0,0.71,53.43,23.25,28882.57,0.41,219.0,0.04,1604.59,1242.26,0.0,2.0,54.0,54.0,0.75,7.0,10.0,16.0,0.12,68.0,93.0,126.0,34.0,17.0,0.0,3.57,0,PC5.arff
5.0,2.0,6.0,3.0,0.3,2.0,2.0,0.67,12.0,3.0,1.0,19.09,17.86,6086.79,0.11,67.0,0.06,338.15,340.86,0.0,1.0,10.0,10.0,1.0,2.0,3.0,11.0,0.23,13.0,25.0,42.0,14.0,20.0,3.0,9.09,1,KC3.arff
1.0,1.0,0.0,1.0,0.17,0.0,1.0,1.0,2.0,1.0,0.0,13.88,5.6,435.17,0.03,21.0,0.18,24.18,77.71,1.0,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.08,13.0,7.0,14.0,5.0,8.0,1.0,28.57,1,PC4.arff
15.0,3.0,28.0,8.0,0.14,14.0,6.0,0.75,37.0,1.0,0.0,78.29,48.05,180758.79,1.25,565.0,0.02,10042.15,3761.89,28.0,6.0,29.0,57.0,0.13,7.0,14.0,31.0,0.1,81.0,217.0,348.0,70.0,31.0,0.0,53.97,0,CM1.arff
